instance_sn,cluster,workload_type
instance_8496,10,Unknown
instance_8497,1,Training
instance_8498,27,Unknown
instance_8499,-1,Noise
instance_8502,-1,Noise
instance_8503,-1,Noise
instance_8507,-1,Noise
instance_8510,5,Unknown
instance_8511,27,Unknown
instance_8512,5,Unknown
instance_8513,-1,Noise
instance_8514,0,Preprocessing
instance_8515,12,Unknown
instance_8516,5,Unknown
instance_8517,5,Unknown
instance_8518,18,Unknown
instance_8519,3,Inference
instance_8520,5,Unknown
instance_8521,5,Unknown
instance_8522,0,Preprocessing
instance_8523,5,Unknown
instance_8524,5,Unknown
instance_8525,9,Unknown
instance_8526,1,Training
instance_8529,0,Preprocessing
instance_8530,0,Preprocessing
instance_8532,12,Unknown
instance_8533,5,Unknown
instance_8534,0,Preprocessing
instance_8535,1,Training
instance_8536,9,Unknown
instance_8539,27,Unknown
instance_8544,7,Unknown
instance_8545,7,Unknown
instance_8546,28,Unknown
instance_8548,7,Unknown
instance_8549,7,Unknown
instance_8550,7,Unknown
instance_8554,-1,Noise
instance_8556,6,Unknown
instance_8558,0,Preprocessing
instance_8559,27,Unknown
instance_8561,27,Unknown
instance_8563,6,Unknown
instance_8564,12,Unknown
instance_8569,24,Unknown
instance_8570,-1,Noise
instance_8572,22,Unknown
instance_8573,9,Unknown
instance_8574,8,Unknown
instance_8575,8,Unknown
instance_8576,29,Unknown
instance_8577,9,Unknown
instance_8578,9,Unknown
instance_8582,9,Unknown
instance_8583,27,Unknown
instance_8585,9,Unknown
instance_8589,7,Unknown
instance_8590,7,Unknown
instance_8591,7,Unknown
instance_8592,23,Unknown
instance_8593,7,Unknown
instance_8594,7,Unknown
instance_8595,-1,Noise
instance_8596,-1,Noise
instance_8597,-1,Noise
instance_8598,-1,Noise
instance_8599,7,Unknown
instance_8600,7,Unknown
instance_8601,7,Unknown
instance_8602,7,Unknown
instance_8603,-1,Noise
instance_8604,-1,Noise
instance_8605,15,Unknown
instance_8606,1,Training
instance_8607,-1,Noise
instance_8610,13,Unknown
instance_8616,7,Unknown
instance_8617,7,Unknown
instance_8618,-1,Noise
instance_8619,7,Unknown
instance_8620,7,Unknown
instance_8621,7,Unknown
instance_8622,7,Unknown
instance_8623,7,Unknown
instance_8624,7,Unknown
instance_8625,7,Unknown
instance_8628,-1,Noise
instance_8630,1,Training
